NodeIndex,x,y,velocity
501,0.628207108,0.83657296,9.045620363
502,0.652533859,0.880375155,9.071233067
503,0.688280815,0.896633747,9.083906653
504,0.842103412,0.982638008,9.257499527
505,0.837595332,0.970290902,9.255666526
506,0.724413077,0.923839288,9.109405341
507,0.775443879,0.955775688,9.172051998
508,0.759266465,0.933536756,9.123927877
509,0.809564033,0.955107825,9.16880025
510,0.766232066,0.151970692,9.053504092
511,0.80799004,0.1254919,9.069467047
512,0.748264583,0.210236611,9.030010464
513,0.723141936,0.284527498,9.017949093
514,0.682118633,0.326046443,9.014611642
515,0.582871063,0.667568476,9.01432676
516,0.603156149,0.615446854,9.012103409
517,0.637988,0.428862066,9.010887202
518,0.668574069,0.375463068,9.012226073
519,0.62198447,0.569038667,9.010935434
520,0.669889969,0.458820293,9.010808114
521,0.638102317,0.517705439,9.010508521
522,0.66907745,0.48891265,9.010678689
523,1.052631579,0.008121608,8.347962012
524,1.017540447,0.01784421,9.265284921
525,0.8862202,0.080239586,9.109253746
526,0.850034819,0.1024435,9.087947375
527,0.938687728,0.048767568,9.167115288
528,0.922207959,0.068970973,9.125985071
529,0.984642647,0.03018767,9.26372614
530,0.976185541,0.045152814,9.178493036
531,1.122807018,0.0,0.0
532,1.087719298,0.008112577,8.344534987
533,1.157894737,0.0,0.0
534,1.192982456,0.0,0.0
535,0.877195283,0.982609076,9.255465599
536,0.912280702,0.992117241,8.428613857
537,0.947368421,1.0,0.0
538,0.6129513,0.716532346,9.01844925
539,0.64931151,0.772453245,9.028651555
540,0.68569453,0.838154187,9.047176379
541,0.728026943,0.873640223,9.06725868
542,0.872698931,0.969969071,9.25143691
543,0.842842741,0.955355718,9.169570387
544,0.762032169,0.898422454,9.085526438
545,0.79516629,0.926576022,9.11272786
546,0.82765306,0.936222055,9.127792747
547,0.797574186,0.185961362,9.037974309
548,0.84244222,0.156444031,9.050995216
549,0.780227556,0.258457672,9.021754104
550,0.769439793,0.31197713,9.015956328
551,0.730512348,0.35428467,9.013215205
552,0.637480952,0.664258043,9.014419937
553,0.658244437,0.614422004,9.012341144
554,0.702137324,0.417257449,9.011418961
555,0.673583703,0.565919669,9.011183066
556,0.70656685,0.474007134,9.010895085
557,0.68895556,0.520726804,9.010819457
558,1.052631574,0.017867539,9.264730834
559,1.020283979,0.030833852,9.261564197
560,0.921277264,0.101820086,9.088464372
561,0.883647783,0.123169753,9.071355783
562,0.877257581,0.173123636,9.044857794
563,0.95746127,0.073634731,9.118511921
564,1.010065785,0.04804277,9.166886415
565,0.992488954,0.066754484,9.130182577
566,1.228070175,0.0,0.0
567,1.122807018,0.008089862,8.336281973
568,1.087723217,0.01784767,9.26328213
569,1.157894737,0.008059339,8.324800689
570,1.192982456,0.008009067,8.306509082
571,1.263157895,0.0,0.0
572,1.298245614,0.0,0.0
573,0.907135931,0.969353614,9.245796669
574,0.912289307,0.982657931,9.249617396
575,0.947368421,0.99217928,8.402295793
576,0.98245614,1.0,0.0
577,0.673866818,0.712852121,9.01834431
578,0.706081058,0.766161362,9.027329053
579,0.733859222,0.821810899,9.04228309
580,0.773792187,0.843461161,9.050858696
581,0.876725699,0.954184083,9.166465985
582,0.857879752,0.930844577,9.119338563
583,0.802858586,0.878877202,9.070302685
584,0.832623228,0.904326706,9.090943681
585,0.838148912,0.228474036,9.026957745
586,0.818803202,0.302264446,9.016802049
587,0.793739532,0.3541003,9.013458144
588,0.771010545,0.400788408,9.012046675
589,0.695904708,0.660790912,9.014476068
590,0.715719009,0.609640689,9.012410863
591,0.759764837,0.456186729,9.011230974
592,0.733962026,0.56007323,9.011369264
593,0.749450031,0.510392689,9.011050773
594,1.05604547,0.03092308,9.260672627
595,1.047362814,0.046924876,9.169868478
596,0.954518734,0.112103554,9.080802878
597,0.923607635,0.152801921,9.053562528
598,0.900699114,0.219071759,9.029543051
599,0.989693476,0.100239793,9.091320537
600,1.026375274,0.075688433,9.116658315
601,1.228070175,0.007936804,8.279340669
602,1.122814283,0.017797695,9.259889985
603,1.090718984,0.030962288,9.258297012
604,1.157905646,0.017730546,9.256003684
605,1.192997189,0.017619948,9.250139534
606,1.263157895,0.007870435,8.253408939
607,1.333333333,0.0,0.0
608,1.298245614,0.007840749,8.244403506
609,1.368421053,0.0,0.0
610,1.01754386,1.0,0.0
611,0.914927679,0.950387345,9.156078258
612,0.935175564,0.968494938,9.24197801
613,0.947378339,0.982794415,9.242782564
614,0.98245614,0.992226616,8.381443324
615,1.01754386,0.992211227,8.390554797
616,0.734561549,0.708987441,9.018290869
617,0.771574539,0.771030697,9.028620077
618,0.81731862,0.820363014,9.042511575
619,0.893464511,0.928032753,9.115791808
620,0.873948972,0.893654996,9.081730416
621,0.84791621,0.857973106,9.058314439
622,0.875930734,0.28484139,9.018934529
623,0.815676925,0.443584733,9.011546186
624,0.853271773,0.340745863,9.014221013
625,0.832256556,0.392731255,9.012413912
626,0.755522525,0.65458597,9.014324836
627,0.777090724,0.602051903,9.01236952
628,0.808471854,0.499654163,9.011252912
629,0.798973129,0.551707628,9.011504953
