 x,y,velocity
0.318246228,0.269898905,9.016240108
0.279301888,0.320835897,9.009688449
0.270151835,0.394962561,9.006083539
0.269098613,0.46537661,9.005006113
0.232329172,0.876594712,9.065018958
0.271704147,0.895083591,9.083509927
0.197682092,0.782697673,9.019547036
0.23154567,0.821222833,9.034452636
0.206927162,0.701573933,9.0094014
0.211468151,0.634994989,9.005511034
0.417732246,0.96955296,9.274245725
0.421065373,0.98262334,9.29726586
0.45248504,0.970526912,9.274929273
0.456151861,0.982722732,9.288143704
0.359794769,0.950037846,9.173083903
0.390270064,0.953032144,9.179355233
0.307240598,0.920279167,9.114010124
0.341626749,0.930540416,9.130829313
0.486405287,0.970125022,9.270181736
0.491236535,0.98283246,9.279289681
0.599304946,0.030633353,9.286470901
0.631567455,0.017734993,9.284190642
0.589272556,0.047857509,9.184833698
0.267263797,0.533555735,9.005067657
0.265196188,0.601022353,9.006183415
0.572024561,0.066423449,9.133948814
0.463288986,0.103052248,9.079349106
0.53628989,0.073199188,9.119788897
0.499299876,0.094504448,9.090262301
0.450847688,0.148030363,9.047005139
0.399466348,0.215608468,9.026556092
0.435391949,0.197311427,9.031354151
0.33924081,0.314431185,9.011799488
0.379288974,0.276641354,9.016334842
0.328765767,0.368239227,9.008569205
0.324888031,0.433128194,9.00666257
0.322031798,0.500712643,9.006200616
0.276033978,0.841374797,9.044782949
0.311011189,0.881151197,9.071198138
0.26200229,0.75409173,9.01837342
0.26381757,0.67016355,9.0092196
0.424542313,0.953425528,9.177826793
0.457071141,0.956003162,9.18463321
0.410401955,0.932859217,9.128041847
0.377675129,0.921233119,9.110408926
0.345349452,0.899110089,9.087425376
0.494520963,0.953031253,9.171250303
0.51471129,0.96910016,9.26353925
0.52631737,0.98289969,9.271867512
0.634944343,0.03059523,9.285952624
0.666657024,0.017823941,9.283990741
0.626095929,0.046105545,9.189579589
0.669465208,0.03078678,9.284459089
0.701747283,0.0178992,9.284087432
0.605478864,0.075191595,9.115356477
0.319579397,0.567709012,9.006837335
0.316096924,0.632623252,9.008663271
0.567578278,0.099903545,9.085359911
0.488262502,0.142446658,9.050365916
0.527195522,0.12020714,9.065031772
0.473738312,0.197260118,9.031720681
0.440212753,0.252688601,9.020214085
0.382381633,0.338530307,9.010961426
0.423353279,0.30743972,9.013847415
0.381596146,0.401065076,9.0085627
0.377604368,0.468416532,9.007378163
0.373590554,0.535754255,9.007503576
0.322205286,0.824429649,9.039790496
0.30770687,0.77836477,9.025558837
0.352668628,0.84619543,9.049781728
0.324273391,0.706388095,9.014593962
0.477720851,0.934922566,9.130164017
0.445076688,0.92619346,9.113852576
0.416450653,0.898376644,9.085351252
0.385740715,0.871829896,9.06527849
0.50873509,0.928891389,9.119247785
0.52974138,0.950896921,9.163976174
0.556185871,0.969743363,9.26349648
0.561397598,0.9828653,9.267058815
0.591274593,0.97061785,9.264782336
0.596481924,0.982764882,9.265429839
0.661464338,0.046447538,9.185128791
0.641099295,0.06726333,9.131278724
0.736838956,0.017952017,9.285195093
0.704069143,0.030754561,9.28448456
0.696833392,0.046426978,9.183038221
0.636771119,0.101390648,9.085897032
0.597835174,0.121885862,9.066607718
0.371220144,0.600713638,9.008766631
0.36850052,0.655514537,9.011365556
0.554752946,0.151761371,9.047369151
0.516890139,0.177129749,9.037317865
0.500511175,0.246073218,9.021600779
0.475704751,0.306768339,9.014448302
0.44204482,0.363365278,9.01063599
0.43478566,0.435634478,9.008716861
0.42873043,0.504240515,9.008214684
0.422372623,0.572769754,9.008902499
0.739727794,0.031189326,9.282015259
0.771931801,0.01796066,9.284001887
0.360046952,0.779602803,9.026881462
0.391658173,0.821048948,9.040367603
0.393133659,0.705790205,9.015921055
0.485004415,0.904499283,9.08989939
0.456980084,0.878315186,9.068399474
0.425512558,0.842710862,9.048656627
0.5225664,0.899738097,9.084569012
0.543232365,0.928092579,9.117207576
0.562243774,0.953141719,9.171729701
0.626655959,0.969916788,9.262354003
0.63157142,0.982665175,9.265627232
0.598462704,0.954394728,9.175465117
0.662132643,0.969810234,9.261945439
0.666663817,0.982614761,9.266220659
0.676037885,0.074662159,9.117396109
0.731786145,0.04757433,9.176629229
0.71147094,0.067470496,9.130356548
0.668913493,0.120412646,9.0696536
0.631262005,0.148928296,9.051558629
0.594526552,0.172360519,9.040844818
0.422861858,0.641174636,9.011372188
0.561139902,0.225041637,9.025479756
0.534659011,0.294206195,9.015972714
0.507836764,0.351829086,9.011869726
0.472480222,0.599737379,9.01037094
0.492832474,0.410283631,9.009947962
0.48593493,0.475185321,9.009075843
0.478092442,0.53769722,9.009148379
0.775501771,0.030959868,9.280905188
0.807023834,0.017913765,9.281643476
0.767297835,0.046720325,9.178899159
0.810012624,0.03102498,9.276934102
0.842112869,0.017833802,9.277144273
0.426462073,0.772697684,9.026623636
0.451454709,0.700347616,9.01602471
0.49894738,0.858934998,9.056390329
0.471886102,0.819171838,9.039393611
0.538960077,0.859940279,9.056538923
0.56444301,0.893518462,9.0784858
0.579639947,0.927073416,9.115920801
0.635976928,0.95286201,9.169768727
0.614883784,0.930426879,9.121274732
0.69822407,0.969964569,9.262488065
0.701755642,0.982622194,9.264596697
0.669140099,0.954004672,9.172408244
0.733957815,0.970018356,9.260686877
0.73684448,0.982660311,9.262066711
0.706603932,0.100896605,9.088454858
0.7460578,0.075167422,9.116274481
0.69915442,0.146120175,9.054986602
0.664562289,0.169686598,9.043979707
0.628763935,0.214269918,9.027805916
0.480826082,0.65349495,9.012804333
0.510449056,0.621043051,9.011597616
0.595621511,0.285205672,9.017270989
0.568875815,0.33878015,9.013022476
0.548752632,0.390208585,9.010956792
0.520221822,0.574896509,9.0102475
0.541039983,0.447899856,9.009878543
0.540128589,0.515356225,9.009678696
0.877198374,0.017760108,9.273438197
0.844636145,0.03091405,9.27420109
0.802679059,0.046846832,9.176823434
0.782123844,0.068012066,9.128203696
0.835732897,0.048508287,9.170104451
0.880410642,0.030966609,9.270022988
0.912281758,0.017727389,9.270284933
0.490204125,0.747057113,9.022632924
0.497431024,0.695443023,9.015993322
0.53102671,0.804135082,9.035459986
0.577816885,0.843374753,9.047976336
0.609681884,0.893609495,9.079438855
0.650657455,0.924194748,9.110495284
0.705402664,0.954566317,9.171832674
